,question,answer,a,b,c
1229,"Within, I clean all that is bad and is old.I make juice that's the color of gold.Should I die, a filter machine would you need assembledto replace me â€¦ and beans I resemble.What am I?",Your kidneys,Your liver,Your lungs,Your spleen
1230,"Without a bridle, or a saddle, across a thing I ride a-straddle. And those I ride, by help of me, though almost blind, are made to see. What am I?",Eyeglasses.,Binoculars,Contact lenses,Magnifying glass
1231,You answer me but I ask you nothing. What am I?,A phone.,A mirror,A clock,A book
1232,"You are distributing vegetable oil. There are 21 bottles in total out of which 7 are full, 7 half empty and 7 empty. The oils has to be distributed among three people.How will you distribute so that each person gets equal number of bottles and the same quantity of oil?","First Person: 3 full bottles, 1 half empty bottle and 3 empty bottles.Second Person: 3 full bottles, 1 half empty bottle and 3 empty bottles.Third Person: 1 full bottle, 5 half empty bottles and 1 empty bottle.",First Person,First Person,First Person
1233,"You are distributing vegetable oil. There are 21 bottles in total out of which 7 are full, 7 half empty and 7 empty. The oils has to be distributed among three people.How will you distribute so that each person gets equal number of bottles and the same quantity of oil?","First Person: 3 full bottles, 1 half empty bottle and 3 empty bottles.Second Person: 3 full bottles, 1 half empty bottle and 3 empty bottles.Third Person: 1 full bottle, 5 half empty bottles and 1 empty bottle.",First Person,First Person,First Person
1234,"You are distributing vegetable oil. There are 21 bottles in total out of which 7 are full, 7 half empty and 7 empty. The oils has to be distributed among three people.How will you distribute so that each person gets equal number of bottles and the same quantity of oil?","First Person: 3 full bottles, 1 half empty bottle and 3 empty bottles.Second Person: 3 full bottles, 1 half empty bottle and 3 empty bottles.Third Person: 1 full bottle, 5 half empty bottles and 1 empty bottle.",First Person,First Person,First Person
1235,"You are driving down the road in your car on a wild, stormy night, when you pass by a bus stop and you see three people waiting for the bus:       1. An old lady who looks as if she is about to die.       2. An old friend who once saved your life.       3. The perfect partner you have been dreaming about.Knowing that there can only be one passenger in the car, who would you choose?","The old lady of course! After you help the old lady into the car, you can pass the keys on to your friend, and wait with your perfect partner for the bus!",The old friend who once saved your life,The perfect partner you have been dreaming about,None of them
1236,You are lost in the woods and the path you are following forks into two: a path to the left and one to the right. One path will lead you to safety while the other will cause you to be lost forever.At the fork are two twin sisters who know which path is which. The sisters are identical in every way except one: one of the sisters always tells the truth while the other always lies.You can ask only one question and you don't know which sister is which. What can you say to them so you know which path to take?,"Ask one of the sisters which path their sister would tell you to take.Let's say the left hand path is the correct one to follow. The sister that lies knows their truthful sister would tell you the left hand path, so as they always lie they will tell you the right hand path.The honest sister knows their lying sister will tell you the right hand path and because they're honest, they will tell you this. So you should follow the opposite path to that which you are told, regardless of which sister tells you.",Ask one of the sisters which path they would take themselves.,Ask one of the sisters which path leads to danger.,Ask one of the sisters which path they think the other sister would choose.
1237,"You are on an island in the middle of a lake. The lake is in a remote part of the country and there has never been a bridge connecting the island to the mainland. Every day a tractor and wagon gives hay rides around the island. Puzzled as to how the tractor had gotten onto the island, you ask around and find out that the tractor was not transported to the island by boat or by air. Nor was it built on the island. Explain how the tractor got there?","It was driven over in winter, when the lake was frozen.",The tractor was magically teleported to the island.,The tractor was transported underground through a secret tunnel.,The tractor was brought to the island by a group of dolphins.
1238,"You are on your way to visit your Grandma, who lives at the end of the valley. It's her anniversary, and you want to give her the cakes you've made. Between your house and her house, you have to cross 5 bridges, and as it goes in the land of make-believe, there is a troll under every bridge! Each troll, quite rightly, insists that you pay a troll toll. Before you can cross their bridge, you have to give them half of the cakes you are carrying, but as they are kind trolls, they each give you back a single cake.How many cakes do you have to leave home with to make sure that you arrive at Grandma's with exactly 2 cakes?","2 CakesHow?At each bridge you are required to give half of your cakes, and you receive one back. Which leaves you with 2 cakes after every bridge.",4 Cakes,6 Cakes,8 Cakes
1239,"You are the pilot on a plane flying from London to Berlin, with 2 transfers in Prague.What is the pilot's surname?",Your surname.,Smith,Johnson,Brown
1240,"You can catch me easily, especially around Christmas, but you can never throw me. What am I?",A cold,A snowflake,A reindeer,A candy cane
1241,"You can hear me and control me, but never see me or touch me. What am I?",Your voice.,Your thoughts,Your emotions,Your dreams
1242,You can hold it without using your hands or your arms. What is it?,Your breath.,Your thoughts,A secret,A memory
1243,"You can see it every day, But cannot ever touch it. What is it?",The sky,The sun,The moon,The wind
1244,"You can see nothing elseWhen you look in my face,I will look you in the eyeAnd I will never lie.What am I?",Refllection,Mirror,Shadow,Glass
1245,You can't keep me until you have given me.What Am I?,Your word.,Your promise,Your trust,Your loyalty
1246,"You can't see me, but I can see you. To be more specific, I see through. What am I?",An X-ray.,A mirror,A camera,A microscope
1247,You can't taste it unless you undress it. What is it?,A banana.,An apple,A watermelon,A carrot
1248,You can't taste it unless you undress it. What is it?,A banana.,A watermelon,A pineapple,A cucumber
1249,"You do not want to have it,But when you do have it,You do not want to lose it.What is it?",A lawsuit.,A cold,A headache,A traffic jam
1250,"You enter a dark room. In the room there is a gas stove, a kerosene lamp and a candle.You have a matchbox in your pocket, what will you light first?","A match, of course.",The gas stove,The kerosene lamp,The candle
1251,"You enter a room and notice a bed. There are 3 dogs, 2 cats, 1 goat, 4 crows, and a goose on the bed. In addition, 3 sparrows are flying around the bed.How many LEGS are there on the floor?",There are 6 legs on the floor.,There are 10 legs on the floor.,There are 12 legs on the floor.,There are 14 legs on the floor.
1252,"You enter a room and notice a bed. There are 3 dogs, 2 cats, 1 goat, 4 crows, and a goose on the bed. In addition, 3 sparrows are flying around the bed.How many LEGS are there on the floor?",There are 6 legs on the floor.,There are 10 legs on the floor.,There are 16 legs on the floor.,There are 20 legs on the floor.
1253,"You go in me for brushing, For flushing, For rushing; But please go in me one at a time, Or someone might be blushing. What am I?",A bathroom.,A kitchen,A bedroom,A living room
1254,"You have 3 boxes. One of them contains a prize. You were allowed to pick just one of them.You pick - and it's empty.With 2 boxes left, you now have one box in your hand and another box in front of you. If given the chance to exchange your box with the box in front of you, would you do it? Why, and why not?(The 'Google Riddles' are interview questions those who wish to get hired were asked).","In the beginning, with 3 boxes, things were simple. You had a chance of 1 in 3 to find the prize. NOW we know that one of the boxes is empty but you still made a guess of 1 in 3, now you have a new choice of 1 in 2. Your probability goes up and that is why you SHOULD CHANGE THE BOX.Don't feel bad if you disagree, this riddle has been hotly debated.","No, I would not change the box because the probability remains the same at 1 in 3. The fact that one box is empty does not affect the probability of the remaining box containing the prize.","Yes, I would change the box because the probability of the remaining box containing the prize increases to 1 in 2. It is a better chance than sticking with the original box.","It doesn't matter whether I change the box or not. The probability of finding the prize is still the same, regardless of the number of boxes left."
