questions,answers,Gpt
I plow and plow but never sow.What am I?,A pig.,"option : A tractor, option : A shovel, option : A plow horse"
"I have four legs but no tail. Usually, I am heard only at night.What am I?",A frog.,"option : A bat, option : A cricket, option : A owl"
"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?",A silkworm.,"option : A caterpillar, option : A chameleon, option : A butterfly"
"My first letter is in window but not in pane.My second's in road but not in lane.My third is in oval but not in round.My fourth is in hearing but not in sound.My whole is known as a sign of peace.And from Noah's Ark, I won quick release.What am I?",A dove.,"option : A sparrow, option : A pigeon, option : A seagull"
"A prickly house a little host contains.The pointed weapons keep back from pains,So he, unarmed, safe in his fort remains.Who is he?",A hedgehog.,"option : A porcupine, option : A cactus, option : A sea urchin"
What can honk without a horn?,A goose.,"option : A car, option : A bicycle, option : A train"
"I am an insect, and the first part of my name is another insect.What insect am I?",A beetle.,"option : A butterfly, option : A ladybug, option : A mosquito"
My first letter is in ocean but never in sea.My second's in wasp but never in bee.My third is in glider and also in flight.My whole is a creature that comes out at night.What am I?,An owl.,"option : A bat, option : A wolf, option : A vampire"
"Oh, how I love my dancing feet!They stay together - oh so neat.And when I want to walk a line,They all stay together and do double time.I count them up, ten times or more,And race on-off, across the floor.",A centipede.,"option 1: A spider, option 2: A millipede, option 3: A caterpillar"
"I can jump, I can swim,I swing from tree to tree.And I can also weave a houseThat's much bigger than me.What am I?",A spider.,"option : A monkey, option : A bird, option : A squirrel"
"It can be in a hat,Or out of the bag.If you see it you'll be smitten,'Cause it's fluffy like a mitten.What is it?",A cat.,"option : A dog, option : A rabbit, option : A teddy bear"
"It's small but larger than a bee,And agile as a flea.It hums but does not buzz,And it's not covered with fuzz.It is a small collectorOr juicy flower nectar,What is it?",A hummingbird.,"option : A butterfly, option : A mosquito, option : A dragonfly"
"It can be white, blue, or black,Humped or have a horn.And when it talks, it sings its minuets,As it's traveling the depths.What is it?",A whale.,"option : A dolphin, option : A narwhal, option : A seahorse"
"I have no sword, I have no spear,Yet rule a horde that many fear,My soldiers fight with a wicked sting,I rule with might, yet I'm no king.What am I?",A queen bee.,"option : A lion, option : A dictator, option : A general"
"The cow is my cousin.If you see my name, you'll understand why.What am I?",A moose.,"option : A deer, option : A horse, option : A buffalo"
"What has armor but is not a knight,Snaps but is not a twig,And is always at homeEven on the move?",A turtle.,"option : A crab, option : A pangolin, option : A armadillo"
"If a man could carry my burden, he would break his back.I am not rich, but leave silver in my track.What am I?",A snail.,"option : A turtle, option : A backpack, option : A mountain"
"I hang upside-down on trees.I'm the opposite of busy bees.I sleep and sleep, I'm very slow, and on each footI have three toes.What am I?",A sloth.,"option : A monkey, option : A bat, option : A koala"
"I am both a bird and a kind of fruit, and I can even be a person.What am I?",Kiwi.,"option : Mango, option : Pineapple, option : Banana"
"You say ""hey."" I'll eat it.I say ""neigh.""What am I?",A horse.,"option : A cow, option : A dog, option : A cat"
"My start goes on toast, and my end's how birds move.My baby eats leaves, whereas I drink flowers.",Butterfly.,"option : ""Caterpillar"", option : ""Dragonfly"", option : ""Ladybug"""
"Cupid without a bow.Donner with no kebab.One who dances, one who prances, all dragging present-giving dad.What am I?",A reindeer.,"option : A sleigh, option : A snowman, option : A Christmas tree"
I've got a hole in my back and legs I lack.I live where I can't breathe and I eat without teeth.What am I?,A whale.,"option : A fish, option : A shark, option : A dolphin"
"When I walk, I jump, and when I stand, I sit.What animal am I?",A kangaroo.,"option : A frog, option : A grasshopper, option : A rabbit"
I peel like an onion yet remain whole.Which mystery creature am I?,A lizard.,"option : A snake, option : A turtle, option : A chameleon"
"I walk on silken strings and catch all sorts of things.When you find my home, I am gone.What am I?",A spider.,"option : A butterfly, option : A bird, option : A fish"
I'm the only known mammal incapable of jumping. That's because I'm very large.What animal am I?,An elephant.,"option : Giraffe, option : Rhino, option : Hippopotamus"
"My field of vision is 270 degrees, and I'm quiet and sneaky like a ninja when I hunt for my prey.What bird am I?",An owl.,"option : A hawk, option : A falcon, option : A vulture"
"I was born small and pink, but then I grew big and black and white.I'm lazy to cook, so all I eat is bamboo.What animal am I?",A panda.,"option : A zebra, option : A polar bear, option : A koala"
"I've got horns, but I can't honk.Instead, I bleat, but I'm no sheep.What am I?",A goat,"option : A cow, option : A horse, option : A deer"
"I hover and zip through the air with a dazzling flare.I move from flower to flower, humming a tune, but I'm no insect.What am I?",A hummingbird.,"option : A butterfly, option : A dragonfly, option : A bumblebee"
"I am a king, and the jungle is my kingdom.I have a lush mane, and I'm tough to train.What am I?",A lion.,"option : A tiger, option : A gorilla, option : A bear"
"I live in a den, and I wear a furry suit.I like to eat fish, but also berries and fruit.I love honey more than you do.What animal am I?",A bear.,"option : A fox, option : A raccoon, option : A squirrel"
"I wear a tuxedo when I'm swimming, and I slide on my tummy across the ice.What am I?",A penguin.,"option : A dolphin, option : A seal, option : A polar bear"
"I have a mane, but I'm no lion. I wear shoes, but I'm not a human.What am I?",A horse.,"option : A zebra, option : A donkey, option : A unicorn"
"I have a lump or two on my back, and I live in the sand.I'm tough and I'll carry you over the land.What am I?",A camel.,"option : A horse, option : A donkey, option : A mule"
"I'm spotty and swift, but I'm no leopard.And no one wants to play cards with me.What am I?",A cheetah.,"option : A zebra, option : A tiger, option : A hyena"
"It takes me a couple of weeks to digest what I eat, and I'm never in a hurry.What am I?",A sloth.,"option : A snail, option : A tortoise, option : A koala"
"You may find me cute, but I'm too big for a pet.I have a long trunk, and I never forget.What am I?",An elephant.,"option : A giraffe, option : A kangaroo, option : A panda"
"I have four of these, With matching extremities. They can do many things, And hardly ever bring me pain. Unless I stick them with a pin, Or burn them sometimes when... What is it that I can wiggle at will? And use in other means still?",Fingers.,"option : Toes, option : Nose, option : Ears"
"I am not found on any ground,But always in the air;Though charged each cloud with thunder loud,You can not find me there.Now, if from France you choose to danceYour way just into Spain,I there am seen, and near the queen,In hail, in mist, and rain.What am I?",The letter I.,"option : The number 1, option : The letter A, option : The word ""me"""
"My head and tail both equal are, My middle slender as a bee. Whether I stand on head or heel Is quite the same to you or me. But if my head should be cut off, The matter's true, though passing strange Directly I to nothing change. What Am I?",Figure eight.,"option : Circle, option : Triangle, option : Square"
"With potent, flowery words speak I, Of something common, vulgar, dry; I weave webs of pedantic prose, In effort to befuddle those, Who think I while time away, In lofty things, above all-day The common kind that lingers where Monadic beings live and fare; Practical I may not be, But life, it seems, is full of me! What am I?","A riddler, or riddle.","option : A poet, option : A philosopher, option : A novelist"
"Hold the tail, While I fish for you. What am I?",A net.,"option : A fishing rod, option : A fishing hook, option : A fishing line"
"My first is a part of the day, My last a conductor of light, My whole to take measure of time, Is useful by day and by night. What am I?",An Hour-glass.,"option : A sundial, option : A stopwatch, option : A calendar"
